unit_nr,cycle,sensor2,sensor3,sensor4,sensor7,sensor8,sensor9,sensor15,sensor17,sensor20,sensor21,RUL
1,1,-1.721725392,-0.134255176,-0.925935964,1.12114057,-0.516338406,-0.862813315,-0.6038157,-0.781709786,1.348492744,1.194427048,191
1,2,-1.061779707,0.211528494,-0.643725866,0.431930175,-0.798092999,-0.958817615,-0.275851811,-0.781709786,1.01652793,1.236921961,190
1,3,-0.661812625,-0.413165589,-0.525953148,1.008155259,-0.234583813,-0.557139248,-0.649144042,-2.073094227,0.739890586,0.503422813,189
1,4,-0.661812625,-1.261314213,-0.784830915,1.222827349,0.188048077,-0.713825511,-1.971665091,-0.781709786,0.352598304,0.777792142,188
1,5,-0.621815917,-1.251527882,-0.301518345,0.714393452,-0.516338406,-0.457059294,-0.339844765,-0.136017565,0.463253242,1.05955189,187
1,6,-1.161771477,-0.987296965,-1.173703098,1.471395033,-1.079847593,-0.704768501,-0.835790158,-1.427402006,0.905872993,0.71312597,186
1,7,-0.401834022,0.293081246,-1.240366901,1.098543508,-1.079847593,-0.276824808,-1.193084151,-0.781709786,1.569802619,0.810125227,185
1,8,-0.241847189,-1.233586277,-0.884826619,0.544915486,-1.361602186,-1.106899718,-0.921114096,-1.427402006,0.850545524,0.193025189,184
1,9,-1.121774769,0.07451987,-1.570352724,0.364138989,-0.657215703,-0.850586353,-1.849011929,-0.781709786,1.293165275,1.079875544,183
1,10,-1.941707287,0.116927301,-0.941490852,0.251153678,-0.657215703,-0.613292706,-0.361175749,-0.136017565,0.739890586,1.660023484,182
1,11,-0.801801103,-1.430943938,-0.921491711,1.324514129,-0.657215703,-0.707938455,-0.217191603,-0.781709786,0.684563117,1.745937112,181
1,12,-1.241764894,-1.1601888,-0.975933816,1.301917067,-0.093706516,-0.718806866,-1.289073582,-1.427402006,1.348492744,0.704811748,180
1,13,0.77806887,-1.359177516,-0.900381507,0.081675712,0.328925373,-0.834283736,-0.718469742,-0.136017565,0.629235648,-0.129381867,179
1,14,-0.661812625,0.395837714,-1.085929091,1.256722942,-0.093706516,-0.80937696,-1.219747882,-0.136017565,2.01242237,0.858162955,178
1,15,-0.501825792,-1.093315543,-0.755943267,0.307646334,0.188048077,-0.589744482,-0.593150207,-1.427402006,0.961200462,0.557003355,177
1,16,-1.101776415,-0.414796644,-0.492621246,0.646602265,-0.657215703,-0.720165417,-1.294406328,-0.781709786,0.850545524,1.526995931,176
1,17,-0.201850481,-0.907375268,-0.998155084,0.488422831,-0.516338406,-0.467474855,0.32141576,-0.781709786,-0.034693978,0.389795111,175
1,18,-0.121857064,0.0843062,-1.423692358,0.940364073,-0.657215703,-0.710655557,-1.049100004,-0.781709786,0.407925773,1.00689515,174
1,19,-1.781720454,-0.483300956,-0.953712549,0.917767011,-0.798092999,-0.509589949,-0.267852691,-1.427402006,-0.090021447,0.523746467,173
1,20,0.718073808,-1.535331461,-0.41151362,1.629574467,-0.657215703,-0.875945979,-0.563820104,-0.781709786,1.182510337,1.222141121,172
1,21,-0.621815917,-0.726328158,-1.200368619,0.8047817,0.188048077,-0.774054623,-0.99310617,-0.781709786,1.51447515,0.188406177,171
1,22,0.178118247,0.392575604,-0.929269155,0.296347803,-0.798092999,-0.18263191,-1.033101766,-0.781709786,0.573908179,0.826753672,170
1,23,-1.081778061,-0.380544488,-1.575908041,0.69179639,-0.657215703,-0.858737661,-0.483828911,-0.781709786,0.684563117,1.53808156,169
1,24,-0.601817562,0.050054044,-1.124816309,0.138168368,0.328925373,-0.972855979,-1.414393117,-0.781709786,1.01652793,0.738068636,168
1,25,0.178118247,0.583409044,-1.060374633,0.714393452,-1.079847593,-0.501891491,-1.345067416,-0.136017565,0.739890586,1.284959688,167
1,26,-1.041781353,-0.235380589,-1.429247675,0.838677293,-0.37546111,-0.821151072,-0.430501449,0.509674655,0.241943366,1.156551147,166
1,27,-0.481827438,-0.008663937,-0.788164105,0.793483169,-1.079847593,-0.782658782,-1.001105289,-0.136017565,0.961200462,1.45493934,165
1,28,-0.661812625,-1.253158938,-1.089262281,1.482693564,0.328925373,-0.697522894,-0.262519945,-2.073094227,1.071855399,-0.051782461,164
1,29,-1.541740205,-0.928578983,-0.882604493,0.996856728,-0.657215703,-0.668993314,-0.619813938,-0.136017565,0.629235648,0.646612193,163
